carat,cut,color,clarity,depth,table,price,x,y,z
0.7,Ideal,F,VS1,61.6,55.0,3399,5.68,5.71,3.51
0.52,Ideal,G,SI2,61.6,55.0,1090,5.16,5.19,3.19
0.3,Ideal,G,IF,62.1,57.0,863,4.27,4.29,2.66
1.32,Ideal,I,VS2,61.7,59.0,7059,7.03,7.06,4.35
0.55,Ideal,H,VS1,61.2,56.0,1686,5.26,5.3,3.23
0.32,Ideal,D,SI1,61.5,56.0,756,4.42,4.39,2.71
0.72,Very Good,G,SI2,62.5,56.0,2079,5.68,5.71,3.56
0.42,Ideal,I,SI1,61.8,55.0,833,4.81,4.83,2.98
1.37,Premium,E,SI2,61.0,57.0,6751,7.25,7.19,4.4
3.0,Good,J,SI2,59.3,64.0,14918,9.32,9.19,5.5
1.55,Very Good,E,SI2,59.5,56.0,9557,7.56,7.59,4.51
0.31,Ideal,G,VVS1,61.9,54.0,789,4.35,4.37,2.7
0.54,Ideal,D,VS1,61.4,53.0,1955,5.28,5.3,3.25
1.7,Premium,I,SI1,59.8,59.0,7797,7.72,7.7,4.61
1.2,Very Good,G,SI1,62.8,60.0,6526,6.71,6.79,4.24
0.43,Premium,G,VVS1,62.2,58.0,1207,4.78,4.83,2.99
0.6,Ideal,H,VVS1,61.0,56.0,2568,5.44,5.47,3.33
1.18,Ideal,E,VS1,61.4,57.0,11104,6.77,6.81,4.17
0.64,Premium,D,VS2,60.9,59.0,2243,5.6,5.63,3.42
1.01,Premium,D,SI2,58.3,59.0,4672,6.67,6.63,3.88
0.71,Ideal,G,VVS1,62.6,56.0,3210,5.65,5.69,3.55
1.0,Fair,G,SI1,43.0,59.0,3634,6.32,6.27,3.97
0.72,Ideal,G,SI2,61.3,56.0,2451,5.76,5.81,3.55
0.63,Ideal,E,VS2,62.1,56.0,2205,5.49,5.52,3.42
0.82,Premium,H,SI2,60.4,58.0,2629,6.11,6.07,3.68
0.4,Ideal,E,VS1,62.0,54.0,1125,4.77,4.74,2.95
0.51,Premium,E,VS2,60.3,59.0,1656,5.2,5.22,3.14
0.35,Premium,F,VS2,61.8,58.0,906,4.52,4.48,2.78
0.53,Good,E,VS2,64.0,55.0,1607,5.11,5.14,3.28
1.34,Premium,G,SI2,61.7,58.0,6464,7.04,7.1,4.36
0.32,Ideal,I,VVS2,62.0,54.9,567,4.36,4.39,2.71
0.42,Ideal,G,VVS1,62.8,55.0,1245,4.78,4.8,3.01
0.73,Ideal,G,SI2,61.8,56.0,2210,5.76,5.8,3.57
0.32,Premium,G,VVS2,61.7,59.0,936,4.41,4.37,2.71
1.2,Premium,G,VS2,58.2,59.0,7795,7.04,6.95,4.07
0.7,Good,F,SI2,59.0,57.0,2100,5.8,5.83,3.43
3.04,Very Good,I,SI2,63.2,59.0,15354,9.14,9.07,5.75
0.32,Premium,E,SI2,61.7,60.0,576,4.41,4.38,2.71
0.4,Very Good,F,SI1,59.6,61.0,927,4.79,4.84,2.87
1.02,Ideal,G,VS2,62.5,55.0,6418,6.43,6.49,4.04
0.53,Ideal,E,VS1,60.4,57.0,1772,5.27,5.26,3.18
1.0,Very Good,H,SI2,62.5,58.0,4042,6.27,6.36,3.95
1.0,Very Good,F,VS2,62.7,58.0,6319,6.38,6.41,4.01
0.35,Very Good,H,VS1,60.8,63.0,788,4.57,4.54,2.77
0.6,Ideal,E,VS2,62.0,56.0,2112,5.4,5.43,3.36
0.44,Premium,D,VS1,60.2,59.0,1232,4.93,4.91,2.96
1.05,Ideal,H,SI2,61.2,57.0,4331,6.54,6.59,4.02
1.15,Premium,D,SI1,63.0,57.0,6942,6.69,6.64,4.2
1.01,Very Good,E,SI1,62.0,61.0,5216,6.38,6.42,3.97
0.98,Fair,H,SI1,68.6,58.0,3583,6.18,6.04,4.19
1.2,Premium,I,VS2,62.6,58.0,5699,6.77,6.72,4.22
0.71,Ideal,D,SI2,62.4,55.0,2480,5.71,5.74,3.57
0.41,Very Good,F,SI1,63.4,57.0,904,4.74,4.73,3.0
1.5,Premium,H,SI1,58.8,59.0,9697,7.53,7.47,4.41
2.41,Premium,H,SI2,58.7,61.0,15248,8.85,8.76,5.17
0.7,Premium,G,VS2,58.7,53.0,2586,5.86,5.83,3.43
0.3,Ideal,E,VS2,61.5,55.0,673,4.3,4.34,2.66
0.53,Ideal,G,SI2,61.6,55.0,1171,5.2,5.25,3.22
0.9,Very Good,E,SI1,60.3,58.0,4921,6.26,6.32,3.79
0.7,Ideal,D,VS2,62.4,57.0,2867,5.68,5.61,3.52
0.3,Very Good,D,VS2,62.5,57.0,670,4.26,4.28,2.67
1.0,Premium,F,VS2,62.1,58.0,6047,6.45,6.36,3.96
1.73,Fair,H,SI2,65.9,58.0,6007,7.52,7.45,4.93
0.3,Premium,I,VS1,60.5,60.0,473,4.3,4.33,2.61
1.11,Very Good,J,SI1,62.0,58.0,3901,6.57,6.62,4.09
0.7,Ideal,G,VS1,61.4,55.0,2573,5.74,5.69,3.51
0.73,Premium,E,VS2,61.6,59.0,2821,5.77,5.73,3.54
1.0,Fair,E,SI2,57.3,62.0,4032,6.54,6.59,3.76
0.53,Very Good,D,SI2,60.2,56.0,1307,5.23,5.26,3.16
2.01,Premium,G,SI1,61.8,59.0,15105,8.15,8.09,5.02
0.79,Fair,G,SI1,65.3,76.0,2362,5.52,5.13,3.35
0.9,Very Good,G,SI1,62.4,59.0,4320,6.1,6.15,3.82
1.06,Ideal,D,SI2,62.3,55.0,5253,6.54,6.5,4.06
0.3,Premium,E,VS1,60.2,57.0,814,4.37,4.3,2.61
0.78,Very Good,D,SI1,62.5,58.0,3258,5.86,5.89,3.67
0.28,Very Good,D,VVS2,64.0,56.0,532,4.14,4.17,2.66
1.5,Premium,I,IF,62.9,58.0,10332,7.31,7.21,4.57
0.38,Very Good,F,VS1,62.8,56.0,933,4.59,4.64,2.9
0.53,Ideal,J,SI1,61.6,55.0,999,5.2,5.23,3.21
0.34,Ideal,F,VS1,62.1,57.0,956,4.53,4.49,2.8
1.51,Premium,E,SI1,60.6,59.0,12738,7.45,7.41,4.5
0.53,Ideal,G,IF,61.8,57.0,2247,5.18,5.22,3.21
0.95,Ideal,G,VS2,61.6,56.0,4549,6.34,6.3,3.89
0.38,Very Good,H,VVS1,60.0,57.0,975,4.75,4.79,2.86
1.06,Premium,I,SI1,61.9,59.0,4452,6.52,6.5,4.03
1.24,Premium,J,SI1,61.8,58.0,4687,6.9,6.86,4.25
1.17,Ideal,J,VS2,62.1,56.0,4619,6.8,6.75,4.21
1.06,Premium,F,I1,60.3,58.0,3158,6.59,6.56,3.96
1.23,Ideal,I,SI2,62.1,56.0,5269,6.88,6.84,4.26
0.51,Good,F,SI1,63.1,54.0,1220,5.06,5.12,3.21
1.21,Very Good,F,SI1,59.4,56.0,6708,6.95,7.0,4.14
0.71,Very Good,I,SI1,62.0,56.0,2098,5.69,5.72,3.54
0.43,Ideal,E,VVS2,60.8,57.0,1135,4.9,4.87,2.97
1.25,Premium,I,SI2,60.5,58.0,5166,7.0,6.96,4.22
0.34,Ideal,J,VVS1,62.1,54.2,504,4.48,4.51,2.79
1.04,Ideal,G,VVS1,62.8,56.0,7738,6.49,6.45,4.06
1.03,Ideal,H,SI2,61.1,57.0,4325,6.48,6.52,3.97
0.56,Ideal,G,VVS2,60.7,56.0,2058,5.32,5.33,3.23
1.28,Premium,H,SI2,60.2,58.0,6093,7.13,7.03,4.26
0.3,Very Good,J,VS1,59.5,60.0,427,4.39,4.45,2.63
1.19,Ideal,D,VS2,60.4,56.0,7916,6.87,6.93,4.17
1.14,Premium,F,SI2,60.8,58.0,5008,6.79,6.74,4.11
0.31,Very Good,E,VVS2,62.4,56.0,749,4.32,4.35,2.7
0.7,Very Good,D,SI1,62.5,63.0,2318,5.7,5.63,3.54
0.36,Premium,E,VS2,61.3,60.0,1013,4.59,4.55,2.8
0.3,Ideal,F,IF,60.4,60.0,873,4.32,4.35,2.62
0.25,Very Good,F,VVS2,60.4,59.0,575,4.09,4.12,2.48
0.33,Very Good,E,SI1,62.7,56.0,579,4.39,4.45,2.77
0.41,Good,E,SI1,63.3,57.0,755,4.73,4.75,3.0
2.01,Good,I,SI1,64.1,62.0,13587,7.94,7.85,5.06
1.5,Premium,J,SI1,61.7,59.0,7258,7.36,7.32,4.53
0.31,Ideal,I,SI1,62.7,56.0,523,4.34,4.3,2.71
0.26,Good,F,VVS2,60.4,61.0,517,4.13,4.18,2.51
0.31,Ideal,G,VVS1,61.9,54.0,789,4.38,4.41,2.72
0.74,Very Good,F,SI1,62.9,57.0,2684,5.76,5.79,3.63
1.08,Ideal,G,VS1,61.4,56.0,7551,6.59,6.63,4.06
0.41,Ideal,F,VVS1,61.8,57.0,1356,4.79,4.75,2.95
0.9,Good,G,VS2,60.4,61.0,4547,6.23,6.32,3.79
0.78,Ideal,E,SI1,62.7,55.0,3067,5.87,5.9,3.69
0.43,Very Good,F,VS1,61.0,57.0,1056,4.84,4.89,2.97
0.3,Ideal,E,VS2,62.1,55.0,658,4.32,4.35,2.69
1.19,Very Good,G,SI1,62.8,57.0,6127,6.71,6.77,4.23
0.52,Very Good,G,VS2,63.3,57.0,1450,5.11,5.09,3.23
1.31,Very Good,J,VS1,63.7,55.0,6101,6.94,7.01,4.44
0.31,Good,G,VVS1,63.4,57.0,816,4.32,4.36,2.75
0.3,Ideal,G,IF,62.3,52.8,830,4.29,4.33,2.69
0.27,Very Good,E,VS2,61.3,58.0,470,4.13,4.16,2.54
0.42,Ideal,H,SI1,61.7,55.0,885,4.84,4.85,2.99
0.7,Premium,F,SI2,59.5,58.0,2234,5.82,5.72,3.44
0.53,Ideal,F,VS1,62.3,55.0,1908,5.22,5.18,3.24
2.1,Ideal,I,SI2,61.9,56.0,15511,8.2,8.22,5.08
0.4,Ideal,G,VVS1,61.7,55.0,1097,4.75,4.78,2.94
2.01,Very Good,H,SI2,63.4,60.0,11780,7.97,7.89,5.03
0.7,Fair,D,SI2,64.5,60.0,2167,5.53,5.47,3.55
1.01,Very Good,G,VS2,62.9,54.0,6773,6.35,6.4,4.0
0.5,Ideal,I,VS2,62.4,55.0,1110,5.09,5.11,3.18
1.01,Premium,F,SI1,62.8,59.0,3920,6.4,6.36,4.01
0.7,Ideal,F,VS2,61.8,57.0,3011,5.67,5.75,3.53
0.57,Very Good,F,VVS2,60.7,58.0,2351,5.32,5.35,3.24
0.79,Very Good,H,VS1,63.7,56.0,2784,5.85,5.92,3.75
2.01,Premium,J,VS2,58.6,61.0,10401,8.18,8.14,4.78
1.21,Premium,I,SI2,59.9,61.0,4337,6.89,6.85,4.11
0.28,Premium,G,VVS2,60.2,60.0,504,4.24,4.26,2.56
0.29,Very Good,G,VVS1,61.5,57.0,607,4.24,4.27,2.62
1.2,Good,J,VS2,63.7,58.0,4548,6.68,6.61,4.23
0.83,Very Good,J,VS2,60.5,55.0,2444,6.08,6.11,3.69
0.91,Very Good,D,SI2,61.5,56.0,4123,6.22,6.27,3.84
0.31,Very Good,E,SI1,63.5,55.0,698,4.35,4.31,2.75
0.75,Ideal,G,VVS2,62.2,56.0,3879,5.78,5.82,3.61
1.0,Ideal,H,SI2,61.2,57.0,4260,6.42,6.45,3.94
0.3,Premium,H,SI2,60.2,62.0,410,4.37,4.34,2.62
0.46,Premium,E,VS1,61.9,58.0,1437,4.94,4.91,3.05
0.4,Ideal,E,VS1,62.1,55.0,898,4.75,4.79,2.96
0.58,Good,D,SI2,56.7,60.0,1563,5.59,5.53,3.15
1.1,Premium,E,SI2,60.0,60.0,4201,6.7,6.73,4.03
0.32,Premium,E,VS2,60.5,58.0,702,4.44,4.48,2.7
1.09,Premium,G,VS2,61.7,58.0,6504,6.6,6.53,4.05
0.35,Premium,E,SI1,61.2,58.0,788,4.59,4.53,2.79
1.6,Ideal,G,VVS1,60.8,56.0,16339,7.58,7.54,4.6
0.5,Premium,D,SI1,59.1,61.0,1215,5.18,5.07,3.03
0.3,Premium,D,VS2,62.5,59.0,911,4.28,4.23,2.66
0.71,Premium,E,VS2,62.2,59.0,3101,5.79,5.76,3.59
1.5,Fair,D,SI1,65.1,59.0,10374,7.1,7.01,4.59
0.76,Good,G,IF,64.6,61.0,3304,5.72,5.8,3.72
0.41,Good,D,VS1,60.2,62.0,986,4.8,4.84,2.9
1.14,Ideal,F,VS1,61.1,55.0,8953,6.74,6.78,4.13
0.33,Premium,E,SI1,60.2,58.0,743,4.55,4.49,2.72
1.04,Good,D,SI1,63.7,58.0,5605,6.39,6.43,4.08
1.03,Ideal,G,SI2,60.4,56.0,3692,6.56,6.53,3.95
0.38,Ideal,D,VVS1,62.0,57.0,1173,4.6,4.69,2.88
0.75,Very Good,E,VVS2,62.8,57.0,4005,5.74,5.78,3.62
0.82,Good,J,SI1,57.5,62.0,2140,6.25,6.2,3.58
0.55,Premium,F,VS2,61.7,56.0,1819,5.29,5.25,3.25
0.36,Ideal,F,SI1,61.5,56.0,600,4.59,4.62,2.83
2.0,Ideal,F,SI2,62.9,56.0,17534,7.94,8.01,5.02
0.56,Good,E,VS2,61.4,62.0,1736,5.34,5.28,3.26
0.31,Premium,F,VS2,59.0,59.0,802,4.47,4.44,2.63
1.03,Premium,E,SI2,58.8,62.0,4070,6.58,6.51,3.85
0.9,Ideal,G,VVS1,62.8,56.0,5978,6.12,6.18,3.86
0.75,Ideal,E,VS1,62.0,55.0,3462,5.83,5.88,3.66
0.4,Premium,G,VVS2,62.5,60.0,1050,4.7,4.65,2.92
0.41,Good,E,SI1,63.9,58.0,969,4.72,4.7,3.01
0.78,Ideal,F,VS2,61.3,57.0,3259,5.91,5.93,3.63
1.01,Premium,D,VVS2,62.2,59.0,8065,6.36,6.3,3.94
0.26,Ideal,I,VS1,61.9,56.0,358,4.08,4.16,2.55
0.36,Ideal,F,VS1,60.8,56.0,803,4.61,4.64,2.81
1.23,Very Good,E,VVS2,60.4,62.0,11175,6.88,6.93,4.17
0.43,Ideal,F,VVS2,61.8,57.0,1250,4.85,4.83,2.99
1.0,Very Good,E,SI2,62.4,57.0,4620,6.33,6.4,3.97
0.75,Premium,G,SI2,61.0,58.0,2216,5.9,5.94,3.61
0.52,Ideal,G,VS1,63.0,54.0,1694,5.17,5.12,3.24
0.32,Ideal,J,VS1,61.3,57.0,421,4.41,4.43,2.71
1.5,Premium,F,VS2,61.3,58.0,13506,7.36,7.31,4.5
0.7,Very Good,H,VS2,57.9,62.0,2508,5.8,5.9,3.39
0.42,Ideal,D,SI1,63.0,57.0,970,4.81,4.77,3.02
0.41,Ideal,E,VVS2,62.2,54.0,1243,4.79,4.76,2.97
0.7,Premium,H,VS2,62.2,58.0,2074,5.69,5.72,3.55
1.23,Ideal,G,VVS2,61.0,55.0,9525,6.93,6.95,4.23
0.31,Premium,E,SI2,60.9,60.0,435,4.35,4.38,2.66
1.03,Ideal,E,VS2,61.7,56.0,7533,6.45,6.54,4.01
1.27,Very Good,I,SI1,60.7,61.0,6559,6.97,6.91,4.21
0.5,Ideal,F,SI2,61.3,58.0,1020,5.1,5.12,3.13
0.25,Very Good,E,VVS2,62.7,59.0,575,4.01,4.03,2.52
0.79,Premium,H,SI1,61.8,59.0,2275,5.97,5.91,3.67
0.32,Premium,G,VVS1,62.6,58.0,842,4.38,4.41,2.75
0.3,Good,J,VS2,63.4,57.0,368,4.22,4.26,2.69
0.56,Ideal,G,VS1,61.8,55.0,1712,5.28,5.37,3.29
1.09,Ideal,D,SI2,62.4,57.0,5364,6.55,6.6,4.1
0.52,Very Good,G,VS2,63.7,56.0,1446,5.08,5.13,3.25
0.33,Premium,D,VVS2,62.6,56.0,1002,4.47,4.44,2.79
1.04,Ideal,G,SI2,62.0,57.0,4200,6.53,6.6,4.07
0.3,Premium,G,VVS2,62.2,59.0,684,4.28,4.31,2.67
0.42,Ideal,H,SI1,62.7,56.0,700,4.76,4.78,2.99
1.2,Very Good,I,SI1,63.2,58.0,5257,6.71,6.75,4.25
0.91,Ideal,D,SI2,62.2,57.0,2803,6.21,6.15,3.85
0.31,Ideal,I,SI1,62.5,56.0,418,4.29,4.35,2.7
0.9,Good,G,VS1,63.9,57.0,4223,6.08,6.03,3.87
0.9,Very Good,G,SI1,62.7,59.0,4059,6.12,6.17,3.85
0.51,Ideal,H,SI1,59.8,57.0,1154,5.22,5.25,3.13
0.32,Ideal,D,VS2,61.7,57.0,972,4.39,4.36,2.7
0.3,Ideal,D,SI1,62.0,56.0,709,4.34,4.3,2.68
0.4,Ideal,H,VVS1,61.4,57.0,1017,4.74,4.81,2.93
0.38,Ideal,E,VS1,61.9,55.2,979,4.62,4.65,2.87
1.2,Very Good,G,SI1,62.9,57.0,5918,6.73,6.79,4.25
0.31,Ideal,H,VVS1,62.2,54.0,687,4.34,4.37,2.71
0.55,Ideal,G,VS1,60.9,56.0,1591,5.29,5.35,3.24
0.32,Very Good,H,SI1,63.1,58.0,591,4.36,4.33,2.74
2.17,Premium,G,SI2,62.2,62.0,12321,8.32,8.24,5.15
0.7,Very Good,E,SI2,62.6,55.0,2263,5.62,5.69,3.54
1.5,Good,H,VS2,63.9,59.0,8165,7.25,7.18,4.61
0.46,Very Good,F,VS2,59.6,58.2,1273,4.99,5.06,3.0
1.5,Very Good,H,SI1,60.6,60.0,10380,7.45,7.36,4.49
1.02,Premium,J,VS2,61.6,58.0,3513,6.4,6.35,3.93
0.26,Very Good,E,VS2,63.2,56.0,453,4.06,4.1,2.58
0.36,Premium,E,VS1,60.4,58.0,1094,4.67,4.64,2.81
0.7,Very Good,G,VS2,63.1,58.0,2302,5.69,5.66,3.58
1.03,Premium,G,VS2,58.9,59.0,6229,6.65,6.59,3.9
0.76,Ideal,E,SI1,62.5,57.0,3033,5.8,5.82,3.63
1.13,Ideal,D,VVS2,61.7,57.0,12261,6.68,6.65,4.11
0.9,Very Good,G,VS2,62.7,59.0,4543,6.09,6.16,3.84
0.59,Very Good,H,SI1,62.8,56.0,1283,5.35,5.38,3.37
0.43,Good,F,SI1,63.6,53.0,948,4.83,4.79,3.06
1.13,Ideal,H,VS2,62.0,55.0,4708,6.68,6.65,4.13
1.01,Premium,E,SI1,62.4,58.0,4480,6.42,6.37,3.99
0.3,Good,E,SI1,63.7,59.0,675,4.27,4.21,2.7
0.79,Ideal,H,VS2,62.5,57.0,2844,5.91,5.93,3.7
0.38,Premium,I,VS2,60.2,58.0,633,4.69,4.75,2.84
1.51,Premium,H,SI1,59.9,60.0,9261,7.45,7.4,4.45
0.56,Ideal,D,VS2,61.4,57.0,2066,5.36,5.32,3.28
0.28,Premium,E,VVS2,58.7,60.0,780,4.34,4.31,2.54
1.14,Very Good,F,SI2,62.9,59.0,4652,6.62,6.64,4.17
1.3,Good,D,SI2,57.1,63.0,6327,7.22,7.27,4.14
0.9,Good,F,VS2,63.3,57.0,4432,6.11,6.15,3.88
1.51,Good,J,SI1,62.4,64.0,7162,7.31,7.23,4.54
0.65,Ideal,J,SI1,61.4,55.0,1276,5.58,5.62,3.44
1.22,Premium,G,VS2,61.2,58.0,7870,6.91,6.81,4.2
0.35,Ideal,F,VS1,62.4,55.0,853,4.52,4.49,2.81
0.33,Ideal,G,VVS1,62.0,56.0,868,4.45,4.48,2.77
0.23,Ideal,F,VVS2,60.3,57.0,530,3.99,4.03,2.42
1.06,Premium,G,VS1,62.8,56.0,7130,6.52,6.47,4.08
0.39,Premium,H,SI1,62.0,60.0,650,4.65,4.71,2.9
0.3,Ideal,H,VS1,62.9,54.0,675,4.31,4.28,2.7
0.73,Ideal,E,VS2,61.9,55.0,3275,5.76,5.8,3.57
1.0,Premium,F,SI2,62.4,56.0,3977,6.35,6.31,3.95
0.48,Ideal,I,VVS2,62.1,56.0,1061,5.01,5.04,3.12
0.97,Ideal,H,VS2,62.9,56.0,4943,6.35,6.31,3.98
0.52,Very Good,E,SI1,60.8,56.0,1343,5.17,5.2,3.15
0.37,Very Good,G,SI1,60.0,57.0,551,4.67,4.7,2.81
0.33,Premium,E,SI1,61.1,58.0,743,4.47,4.43,2.72
1.09,Very Good,G,VS1,62.5,59.0,6827,6.54,6.57,4.1
0.71,Premium,H,VS2,62.0,54.0,2249,5.73,5.69,3.54
0.7,Very Good,G,VS2,60.0,58.0,2527,5.73,5.77,3.45
0.54,Ideal,H,VS2,60.1,57.0,1338,5.28,5.33,3.19
1.01,Premium,G,SI1,62.6,59.0,4872,6.38,6.3,3.97
0.33,Premium,G,VS2,62.6,58.0,743,4.44,4.41,2.77
1.0,Very Good,G,VS1,62.4,60.0,6263,6.37,6.39,3.98
0.3,Ideal,G,VS2,61.9,57.0,984,4.26,4.3,2.65
0.59,Ideal,E,VVS2,62.0,55.0,2761,5.38,5.43,3.35
0.72,Ideal,D,SI2,62.3,57.0,2435,5.75,5.8,3.6
0.72,Very Good,J,VS1,62.2,59.9,1914,5.67,5.69,3.53
1.16,Ideal,D,VVS2,61.9,55.0,12314,6.72,6.76,4.17
0.3,Premium,F,IF,61.6,58.0,947,4.32,4.35,2.67
0.3,Ideal,H,SI1,61.3,59.0,425,4.29,4.33,2.64
0.35,Ideal,F,VS2,62.6,56.0,906,4.52,4.49,2.82
1.5,Good,H,SI2,63.8,57.0,5416,7.21,7.14,4.58
0.31,Ideal,D,SI1,62.6,57.0,571,4.3,4.32,2.7
0.84,Ideal,J,VS2,60.7,56.0,2376,6.17,6.12,3.73
1.61,Premium,H,SI2,60.3,60.0,9167,7.66,7.57,4.59
0.3,Premium,E,VS2,61.7,61.0,844,4.31,4.28,2.65
0.32,Very Good,D,SI1,62.9,56.0,550,4.38,4.4,2.76
0.77,Premium,D,VS1,59.4,59.0,3966,6.0,5.96,3.55
0.56,Premium,I,VVS1,60.6,59.0,1622,5.29,5.33,3.22
0.36,Premium,E,VVS2,61.7,59.0,1102,4.56,4.52,2.8
0.59,Ideal,G,SI1,62.3,55.0,1431,5.37,5.39,3.35
1.08,Ideal,D,SI1,60.3,57.0,6539,6.68,6.71,4.04
2.21,Premium,F,SI1,62.1,59.0,16804,8.33,8.26,5.15
0.91,Very Good,H,SI1,63.0,57.0,3087,6.1,6.19,3.87
0.7,Fair,G,VS1,65.8,61.0,2384,5.61,5.46,3.64
1.2,Ideal,G,VVS2,62.2,55.0,9407,6.77,6.81,4.23
0.26,Ideal,E,VVS2,61.5,56.0,769,4.11,4.08,2.52
1.5,Premium,E,I1,61.5,58.0,4032,7.38,7.2,4.5
0.36,Ideal,G,VS1,62.3,57.0,678,4.55,4.57,2.84
0.3,Ideal,G,IF,61.9,57.0,863,4.27,4.29,2.65
0.7,Ideal,F,SI1,61.2,55.0,3119,5.74,5.76,3.52
0.3,Very Good,E,SI2,63.5,55.0,540,4.3,4.27,2.72
1.91,Good,I,SI2,62.8,58.0,10937,7.82,7.89,4.93
1.22,Premium,F,SI2,62.5,57.0,5794,6.78,6.73,4.22
1.01,Very Good,F,SI2,63.1,57.0,4072,6.37,6.3,4.0
0.41,Ideal,F,VVS1,60.3,56.0,1295,4.8,4.85,2.91
0.59,Premium,G,I1,59.7,59.0,940,5.48,5.45,3.26
0.26,Very Good,F,VS1,60.4,56.0,499,4.14,4.16,2.51
0.53,Premium,E,VS2,59.8,58.0,1813,5.27,5.26,3.15
0.5,Very Good,D,SI1,58.9,61.0,1436,5.16,5.19,3.05
1.01,Very Good,G,VS2,61.4,59.0,5944,6.42,6.48,3.96
1.5,Premium,E,VS2,62.3,60.0,14179,7.27,7.2,4.51
0.35,Very Good,F,SI1,61.0,55.0,590,4.6,4.63,2.81
0.4,Very Good,G,VVS1,61.7,58.0,1123,4.69,4.71,2.9
1.13,Ideal,G,VS2,61.9,56.0,7147,6.68,6.71,4.14
0.78,Very Good,F,VS1,63.3,56.0,3563,5.84,5.89,3.71
1.01,Very Good,D,SI1,60.7,58.0,5422,6.49,6.45,3.93
0.6,Very Good,F,SI1,60.0,61.0,1554,5.48,5.52,3.3
0.3,Ideal,F,VVS1,62.6,56.0,857,4.26,4.29,2.67
0.82,Premium,E,VS2,62.6,60.0,3577,5.97,5.91,3.72
0.91,Premium,E,VS1,62.7,59.0,5057,6.15,6.19,3.87
0.42,Very Good,G,SI1,63.1,56.0,882,4.79,4.75,3.01
0.23,Very Good,E,VVS1,62.5,54.0,478,3.94,3.96,2.47
1.04,Ideal,H,VS2,61.8,55.0,5994,6.51,6.52,4.03
0.78,Good,G,SI1,63.9,64.0,2386,5.82,5.7,3.68
0.41,Ideal,D,SI1,63.0,56.0,920,4.8,4.75,3.01
0.54,Ideal,E,SI1,62.1,56.0,1637,5.24,5.19,3.24
0.37,Ideal,G,VS2,60.8,57.0,833,4.66,4.61,2.82
0.31,Ideal,E,VS1,61.7,56.0,734,4.37,4.41,2.71
1.04,Very Good,E,VVS2,62.8,58.0,9705,6.42,6.45,4.04
0.32,Ideal,H,VVS1,61.9,55.0,730,4.37,4.38,2.71
0.93,Premium,F,SI2,59.5,60.0,3620,6.39,6.36,3.79
0.36,Ideal,G,SI1,61.1,55.0,571,4.58,4.62,2.81
0.43,Very Good,I,SI2,61.5,54.0,691,4.86,4.89,3.0
0.71,Ideal,D,SI2,61.6,55.0,2767,5.74,5.76,3.54
1.28,Good,J,SI1,63.4,59.0,4878,6.84,6.89,4.35
1.51,Premium,H,VS2,62.3,59.0,11435,7.28,7.32,4.55
0.55,Ideal,F,SI2,62.4,56.0,1263,5.26,5.22,3.27
0.5,Ideal,E,SI2,61.8,58.0,1104,5.08,5.11,3.15
1.28,Premium,J,SI2,62.3,58.0,4636,6.94,6.89,4.31
1.02,Very Good,F,SI2,60.0,57.0,4373,6.53,6.57,3.93
0.32,Ideal,D,VS2,62.1,56.0,972,4.43,4.39,2.74
0.43,Ideal,D,SI2,61.0,57.0,919,4.86,4.81,2.95
1.21,Ideal,E,VS2,61.8,53.0,10556,6.86,6.9,4.25
1.08,Ideal,G,VS2,62.1,57.0,5661,6.57,6.54,4.07
1.74,Ideal,D,SI2,64.5,56.0,12361,7.56,7.54,4.87
0.75,Ideal,G,VS1,62.3,57.0,2973,5.83,5.86,3.64
0.3,Premium,G,VS1,62.9,60.0,776,4.29,4.26,2.69
0.34,Ideal,F,VS2,62.1,56.0,686,4.47,4.51,2.79
1.34,Very Good,F,VS1,59.7,60.0,10771,7.17,7.2,4.29
0.4,Ideal,G,VVS1,61.7,55.0,1374,4.73,4.76,2.93
0.54,Ideal,D,VS2,60.0,56.0,2177,5.39,5.28,3.2
0.5,Premium,F,VS2,60.7,58.0,1654,5.16,5.12,3.12
2.0,Ideal,H,VS2,62.4,55.0,15829,8.03,7.94,4.99
0.31,Ideal,E,VVS1,59.8,60.0,725,4.38,4.42,2.63
0.23,Premium,E,VS1,61.8,60.0,513,3.95,3.91,2.43
0.72,Ideal,I,VVS1,61.4,57.0,2642,5.77,5.8,3.55
0.31,Very Good,D,SI1,63.5,57.0,732,4.32,4.28,2.73
0.46,Very Good,G,VVS1,61.7,60.0,1413,4.94,4.98,3.06
0.72,Good,F,VS1,60.7,60.0,2795,5.74,5.72,3.48
1.05,Premium,F,SI1,61.6,57.0,5557,6.56,6.53,4.03
0.32,Very Good,F,VS2,62.8,57.0,645,4.33,4.36,2.73
1.09,Premium,D,SI2,62.8,56.0,4538,6.49,6.45,4.06
1.21,Good,G,VS2,63.8,56.0,8099,6.74,6.67,4.28
2.02,Premium,J,VS2,62.0,59.0,13687,8.06,8.08,5.0
1.05,Ideal,F,VS1,62.1,56.0,7955,6.54,6.59,4.08
0.51,Ideal,E,SI1,61.3,55.0,1546,5.17,5.11,3.15
0.78,Very Good,H,SI2,61.8,59.0,2252,5.85,5.9,3.63
0.54,Ideal,E,SI2,60.7,56.0,1340,5.3,5.25,3.2
0.41,Ideal,F,VVS2,61.2,56.0,1323,4.78,4.82,2.94
